,Name,Age,Nationality,Overall,Potential,Club,Value(€),Wage(€),Height,Weight(lbs),Continent
3996,M. Lešković,27,Croatia,71,73,Dinamo Zagreb,2300000.0,1000.0,6'2,190.0,Europe
3997,G. Friend,30,United Kingdom,71,71,Middlesbrough,1700000.0,29000.0,6'2,183.0,Europe
3998,S. Aydoğdu,27,Turkey,71,71,Medipol Başakşehir FK,2400000.0,16000.0,5'11,159.0,Asia
3999,S. Gashi,29,Albania,71,71,Colorado Rapids,2400000.0,7000.0,6'0,165.0,Europe
4000,O. Deschacht,37,Belgium,71,71,Sporting Lokeren,325000.0,6000.0,6'0,179.0,Europe
4001,E. Cecchini,23,Argentina,71,80,Club Atlético Banfield,3200000.0,6000.0,5'10,172.0,South America
4002,T. Knipping,25,Germany,71,74,SV Sandhausen,2500000.0,5000.0,6'2,181.0,Europe
4003,H. Yamaguchi,27,Japan,71,72,Cerezo Osaka,2200000.0,6000.0,5'8,159.0,Asia
4004,V. Aguilera,29,Argentina,71,71,Club América,1800000.0,33000.0,6'2,194.0,South America
4005,J. Cavalli,36,France,71,71,AC Ajaccio,800000.0,4000.0,5'7,143.0,Europe
4006,L. Pasciuti,28,Italy,71,71,Carpi,2400000.0,3000.0,5'8,150.0,Europe
4007,M. Makuszewski,28,Poland,71,71,Lech Poznań,2400000.0,7000.0,5'9,154.0,Europe
4008,L. Albertengo,27,Argentina,71,72,Estudiantes de La Plata,2800000.0,14000.0,5'10,161.0,South America
4009,Serginho,31,Brazil,71,71,Akhisar Belediyespor,1600000.0,11000.0,5'10,154.0,South America
4010,F. Schnellhardt,24,Germany,71,78,MSV Duisburg,3300000.0,5000.0,5'11,165.0,Europe
4011,M. Pavone,36,Argentina,71,71,Estudiantes de La Plata,850000.0,9000.0,5'11,179.0,South America
4012,T. Goiginger,25,Austria,71,74,LASK Linz,3000000.0,8000.0,5'11,152.0,Europe
4013,K. Beckerman,36,United States,71,71,Real Salt Lake,325000.0,4000.0,5'10,154.0,North America
4014,Luis García,37,Spain,71,71,KAS Eupen,750000.0,6000.0,5'10,143.0,Europe
4015,Lyanco,21,Brazil,71,80,Torino,3200000.0,16000.0,6'2,165.0,South America
4016,A. Luci,33,Italy,71,71,Livorno,1400000.0,3000.0,5'8,150.0,Europe
4017,Luca Sangalli,23,Spain,71,79,Real Sociedad,3500000.0,14000.0,5'6,163.0,Europe
4018,S. Ameobi,26,United Kingdom,71,72,Bolton Wanderers,2800000.0,8000.0,6'4,172.0,Europe
4019,J. Price,25,United Kingdom,71,74,Colorado Rapids,2500000.0,5000.0,5'7,152.0,Europe
4020,Go Yo Han,30,"Korea, Republic of",71,71,FC Seoul,2200000.0,6000.0,5'7,143.0,Asia
4021,O. Hawsawi,32,Saudi Arabia,71,71,Al Nassr,1400000.0,21000.0,6'1,168.0,Asia
4022,Jaime Romero,27,Spain,71,71,Córdoba CF,2500000.0,7000.0,5'9,170.0,Europe
4023,S. Grippo,29,Switzerland,71,71,Real Zaragoza,1800000.0,7000.0,6'2,176.0,Europe
4024,F. Chalov,20,Russia,71,83,PFC CSKA Moscow,4300000.0,1000.0,5'11,170.0,Europe
4025,L. Siligardi,30,Italy,71,71,Parma,2200000.0,27000.0,5'11,159.0,Europe
4026,D. Appiah,26,France,71,72,RSC Anderlecht,2300000.0,12000.0,5'9,170.0,Europe
4027,S. Silva,37,Uruguay,71,71,Gimnasia y Esgrima La Plata,850000.0,8000.0,6'1,176.0,South America
4028,J. Paterson,26,United Kingdom,71,72,Bristol City,2800000.0,26000.0,5'9,148.0,Europe
4029,T. Barkhuizen,24,United Kingdom,71,74,Preston North End,3000000.0,9000.0,5'9,154.0,Europe
4030,I. Bangoura,33,Guinea,71,71,Al Raed,1500000.0,15000.0,5'9,161.0,Africa
4031,S. Memišević,24,Bosnia and Herzegovina,71,74,FC Groningen,2500000.0,5000.0,6'1,170.0,Europe
4032,F. Tabanou,29,France,71,71,En Avant de Guingamp,1800000.0,14000.0,5'10,170.0,Europe
4033,T. Hoogland,33,Germany,71,71,VfL Bochum 1848,950000.0,11000.0,6'0,176.0,Europe
4034,G. Pezzella,20,Italy,71,83,Udinese,3700000.0,11000.0,6'2,187.0,Europe
4035,D. Kolovetsios,26,Greece,71,74,Panathinaikos FC,2500000.0,1000.0,6'0,170.0,Europe
4036,Enric Gallego,31,Spain,71,71,Extremadura UD,2100000.0,6000.0,6'2,192.0,Europe
4037,J. Garner,30,United Kingdom,71,71,Wigan Athletic,2300000.0,35000.0,5'10,161.0,Europe
4038,K. Bonifazi,22,Italy,71,79,SPAL,3000000.0,19000.0,6'2,187.0,Europe
4039,Souza,30,Brazil,71,71,Cerezo Osaka,1800000.0,6000.0,6'0,165.0,South America
4040,J. Adéoti,29,Benin,71,71,AJ Auxerre,1800000.0,5000.0,6'0,179.0,Africa
4041,R. Caroca,28,Chile,71,71,Universidad de Chile,1900000.0,8000.0,5'9,159.0,South America
4042,D. Rosero Valencia,24,Colombia,71,78,Deportivo Cali,2800000.0,2000.0,5'11,179.0,South America
4043,M. Jonjić,27,Croatia,71,73,Cerezo Osaka,2300000.0,6000.0,6'2,183.0,Europe
4044,A. Tarek,26,Egypt,71,74,Orlando City SC,2500000.0,5000.0,6'3,194.0,Africa
4045,O. Fink,36,Germany,71,71,Fortuna Düsseldorf,750000.0,14000.0,6'2,172.0,Europe
4046,F. Macheda,26,Italy,71,72,Panathinaikos FC,2800000.0,1000.0,6'0,161.0,Europe
4047,M. Duffy,32,United Kingdom,71,71,Sheffield United,1800000.0,10000.0,5'9,159.0,Europe
4048,Y. Chibsah,25,Ghana,71,74,Frosinone,2900000.0,11000.0,5'10,172.0,Africa
4049,T. Schütz,30,Germany,71,71,DSC Arminia Bielefeld,1800000.0,9000.0,5'11,165.0,Europe
4050,Rodrigo Becão,22,Brazil,71,80,PFC CSKA Moscow,3200000.0,1000.0,6'3,174.0,South America
4051,M. Loum,21,Senegal,71,79,Moreirense FC,3000000.0,6000.0,6'2,176.0,Africa
4052,D. Fletcher,34,United Kingdom,71,71,Stoke City,1200000.0,26000.0,6'0,183.0,Europe
4053,Vadillo,23,Spain,71,77,Granada CF,3200000.0,6000.0,5'11,154.0,Europe
4054,P. Klement,25,Germany,71,72,SC Paderborn 07,2800000.0,8000.0,5'9,157.0,Europe
4055,A. Gogia,26,Germany,71,72,1. FC Union Berlin,2800000.0,21000.0,5'10,159.0,Europe
4056,A. Cole,37,United Kingdom,71,71,LA Galaxy,270000.0,4000.0,5'9,146.0,Europe
4057,K. Tsimikas,22,Greece,71,78,Olympiacos CFP,2800000.0,1000.0,5'9,150.0,Europe
4058,Mateus,34,Angola,71,71,Boavista FC,1200000.0,6000.0,5'9,165.0,Africa
4059,Babanco,32,Cape Verde,71,71,CD Feirense,1800000.0,8000.0,5'10,154.0,Africa
4060,X. Mercier,28,France,71,71,KSV Cercle Brugge,2400000.0,10000.0,5'9,157.0,Europe
4061,D. Nugent,33,United Kingdom,71,71,Derby County,1500000.0,29000.0,5'11,168.0,Europe
4062,N. Fernández,39,Argentina,71,71,Unión de Santa Fe,160000.0,4000.0,6'5,187.0,South America
4063,O. Hernández,25,Germany,71,74,Norwich City,3000000.0,17000.0,5'8,168.0,Europe
4064,E. Mathoho,28,South Africa,71,73,Kaizer Chiefs,2200000.0,1000.0,6'3,168.0,Africa
4065,B. Sarr,27,Senegal,71,73,Molde FK,2300000.0,5000.0,6'2,179.0,Africa
4066,A. Sagal,25,Chile,71,76,Pachuca,3200000.0,19000.0,5'10,170.0,South America
4067,J. Grimm,31,France,71,71,RC Strasbourg Alsace,1600000.0,11000.0,5'11,152.0,Europe
4068,M. Nyatama,30,South Africa,71,71,Orlando Pirates,2200000.0,1000.0,5'9,179.0,Africa
4069,B. Touré,26,Mali,71,75,AJ Auxerre,2500000.0,5000.0,6'0,170.0,Africa
4070,Diego González,23,Spain,71,79,Málaga CF,3000000.0,6000.0,6'1,183.0,Europe
4071,S. Rosted,23,Norway,71,76,KAA Gent,2700000.0,11000.0,6'2,174.0,Europe
4072,Y. Suzuki,22,Japan,71,81,Kashima Antlers,3900000.0,8000.0,6'0,165.0,Asia
4073,I. Sacko,20,France,71,81,OGC Nice,3900000.0,16000.0,6'0,154.0,Europe
4074,Flavio Paixão,33,Portugal,71,71,Lechia Gdańsk,1500000.0,7000.0,6'0,165.0,Europe
4075,G. Fernández,34,Argentina,71,71,Estudiantes de La Plata,1200000.0,11000.0,5'7,154.0,South America
4076,J. Hayes,30,Ireland,71,71,Celtic,2200000.0,31000.0,5'8,161.0,Europe
4077,T. Ouwejan,22,Netherlands,71,77,AZ Alkmaar,2700000.0,8000.0,6'0,159.0,Europe
4078,D. Guerrero,30,Mexico,71,71,Puebla FC,1800000.0,31000.0,5'9,157.0,North America
4079,W. Routledge,33,United Kingdom,71,71,Swansea City,1400000.0,18000.0,5'7,170.0,Europe
4080,C. Paterson,23,United Kingdom,71,77,Cardiff City,3200000.0,24000.0,6'2,168.0,Europe
4081,Hwang Ui Jo,25,"Korea, Republic of",71,74,Gamba Osaka,3000000.0,9000.0,6'0,161.0,Asia
4082,G. Kvilitaia,24,Georgia,71,74,KAA Gent,3100000.0,13000.0,6'4,181.0,Asia
4083,R. Krishna,30,Fiji,71,71,Wellington Phoenix,2300000.0,4000.0,5'7,154.0,Oceania
4084,T. Castagne,22,Belgium,71,78,Atalanta,3300000.0,14000.0,6'1,176.0,Europe
4085,Léo Jardim,23,Brazil,71,80,Rio Ave FC,2800000.0,4000.0,6'2,163.0,South America
4086,Heitor Gesse,34,Brazil,71,71,Cruzeiro,675000.0,16000.0,5'10,152.0,South America
4087,L. Majer,20,Croatia,71,83,Dinamo Zagreb,4200000.0,1000.0,5'10,165.0,Europe
4088,R. Carrera,26,Argentina,71,72,Unión Española,2800000.0,4000.0,6'0,159.0,South America
4089,B. Celina,21,Serbia,71,81,Swansea City,3800000.0,13000.0,5'11,146.0,Europe
4090,R. Matarrita,23,Costa Rica,71,78,New York City FC,2800000.0,5000.0,5'9,154.0,North America
4091,L. Vitale,30,Italy,71,71,US Salernitana 1919,1700000.0,3000.0,5'11,157.0,Europe
4092,R. Gestede,29,Benin,71,71,Middlesbrough,2400000.0,36000.0,6'4,190.0,Africa
4093,Pedro López,34,Spain,71,71,Levante UD,675000.0,13000.0,5'9,159.0,Europe
4094,J. Lucumi,20,Colombia,71,84,KRC Genk,4099999.9999999995,7000.0,6'1,172.0,South America
4095,W. Endo,25,Japan,71,75,Sint-Truidense VV,2600000.0,7000.0,5'10,165.0,Asia
4096,João Bardinho,34,Brazil,71,71,Botafogo,675000.0,13000.0,5'10,157.0,South America
4097,F. Barrientos,26,Argentina,71,72,Club Atlético Lanús,2700000.0,12000.0,5'9,154.0,South America
4098,P. Glykos,31,Greece,71,71,PAOK,1400000.0,1000.0,6'2,181.0,Europe
4099,C. Moritz,28,Germany,71,71,Hamburger SV,2400000.0,10000.0,6'1,176.0,Europe
4100,E. Kachunga,26,"Congo, The Democratic Republic of the",71,72,Huddersfield Town,2800000.0,28000.0,5'10,163.0,Africa
4101,S. Mendoza,26,Colombia,71,72,Amiens SC,2800000.0,12000.0,5'7,154.0,South America
4102,Diego Galo,34,Brazil,71,71,CD Aves,725000.0,8000.0,6'1,176.0,South America
4103,Lins,30,Brazil,71,71,FC Tokyo,2300000.0,8000.0,5'8,152.0,South America
4104,G. Pegolo,37,Italy,71,71,Sassuolo,160000.0,14000.0,6'0,168.0,Europe
4105,U. Bulut,35,Turkey,71,71,Kayserispor,1100000.0,8000.0,6'0,165.0,Asia
4106,Dani Calvo,24,Spain,71,75,CD Numancia,2600000.0,6000.0,6'3,181.0,Europe
4107,Alam Araújo,26,Brazil,71,71,Grêmio,2000000.0,16000.0,5'10,172.0,South America
4108,F. Andrijašević,27,Croatia,71,72,KAA Gent,2700000.0,13000.0,6'1,181.0,Europe
4109,I. Fiolić,22,Croatia,71,78,KRC Genk,3300000.0,9000.0,5'9,154.0,Europe
4110,M. Caire,29,Argentina,71,71,Club Atlético Tigre,1800000.0,10000.0,5'10,154.0,South America
4111,C. Adams,21,United Kingdom,71,79,Birmingham City,3600000.0,15000.0,5'10,146.0,Europe
4112,P. Škuletić,28,Serbia,71,71,Montpellier HSC,2400000.0,18000.0,6'4,196.0,Europe
4113,G. Lux,36,Argentina,71,71,River Plate,325000.0,7000.0,6'1,170.0,South America
4114,P. Kieszek,34,Poland,71,71,Málaga CF,950000.0,5000.0,6'2,181.0,Europe
4115,B. Cortés,23,Chile,71,81,Colo-Colo,2900000.0,4000.0,6'1,174.0,South America
4116,S. Nishikawa,32,Japan,71,71,Urawa Red Diamonds,1400000.0,6000.0,6'0,179.0,Asia
4117,M. Lustig,31,Sweden,71,71,Celtic,1600000.0,28000.0,6'2,172.0,Europe
4118,A. Bjelica,24,Serbia,71,75,KV Oostende,3100000.0,9000.0,6'0,179.0,Europe
4119,G. Alcoba,33,Uruguay,71,71,Santos Laguna,950000.0,13000.0,6'0,183.0,South America
4120,J. Rhodes,28,United Kingdom,71,71,Norwich City,2400000.0,21000.0,6'1,157.0,Europe
4121,J. Campos,30,Bolivia,71,71,,0.0,0.0,5'9,141.0,South America
4122,Borja Lasso,24,Spain,71,77,Sevilla FC,3200000.0,9000.0,6'1,159.0,Europe
4123,O. Cabezas,21,Colombia,71,79,Rosario Central,3000000.0,1000.0,5'11,174.0,South America
4124,G. Sunu,27,France,71,71,BB Erzurumspor,2500000.0,11000.0,5'11,183.0,Europe
4125,D. Williams,29,United States,71,71,Huddersfield Town,2300000.0,29000.0,6'0,176.0,North America
4126,Nuno Santos,23,Portugal,71,76,Rio Ave FC,3200000.0,6000.0,5'10,161.0,Europe
4127,N. González,20,Argentina,71,83,VfB Stuttgart,4300000.0,17000.0,5'11,148.0,South America
4128,M. Boland,31,Germany,71,71,Adelaide United,2000000.0,4000.0,5'9,154.0,Europe
4129,M. Bianchetti,25,Italy,71,72,Hellas Verona,2300000.0,3000.0,6'2,179.0,Europe
4130,G. Celis,25,Colombia,71,74,Vitória Guimarães,2500000.0,6000.0,5'10,161.0,South America
4131,Somália,29,Brazil,71,71,Al Shabab,2300000.0,22000.0,5'11,161.0,South America
4132,Y. El Ghanassy,27,Belgium,71,71,Al Raed,2500000.0,16000.0,5'8,161.0,Europe
4133,E. Finlay,27,United States,71,71,Minnesota United FC,2500000.0,6000.0,5'9,165.0,North America
4134,A. Uchida,30,Japan,71,71,Kashima Antlers,1700000.0,8000.0,5'9,154.0,Asia
4135,N. Brighenti,28,Italy,71,71,Frosinone,1900000.0,11000.0,5'10,165.0,Europe
4136,I. Tajouri-Shradi,24,Libya,71,76,New York City FC,3200000.0,6000.0,5'7,152.0,Africa
4137,S. Abdullahi,21,Nigeria,71,79,1. FC Union Berlin,3600000.0,4000.0,6'1,190.0,Africa
4138,Lionn,29,Brazil,71,71,GD Chaves,1800000.0,7000.0,6'0,170.0,South America
4139,J. Larsson,28,Sweden,71,71,Brøndby IF,1900000.0,16000.0,5'11,165.0,Europe
4140,T. Pachonik,23,Germany,71,77,Carpi,2700000.0,2000.0,6'1,194.0,Europe
4141,F. Bellugou,31,France,71,71,AJ Auxerre,1600000.0,5000.0,6'2,165.0,Europe
4142,Osmar,30,Spain,71,71,Cerezo Osaka,1800000.0,5000.0,6'4,196.0,Europe
4143,S. Motta,34,Colombia,71,71,La Equidad,1200000.0,2000.0,5'8,152.0,South America
4144,Pau Torres,21,Spain,71,79,Málaga CF,3000000.0,12000.0,6'4,179.0,Europe
4145,André Pereira,23,Portugal,71,78,FC Porto,3400000.0,8000.0,6'2,168.0,Europe
4146,Tiago Sá,23,Portugal,71,79,SC Braga,2600000.0,6000.0,6'1,172.0,Europe
4147,M. Coda,29,Italy,71,71,Benevento,2400000.0,5000.0,6'0,159.0,Europe
4148,W. Mesloub,32,Algeria,71,71,Racing Club de Lens,1800000.0,7000.0,5'11,152.0,Africa
4149,M. Capuano,26,Italy,71,73,Frosinone,2400000.0,10000.0,6'1,176.0,Europe
4150,A. Henríquez,35,Colombia,71,71,Atlético Nacional,550000.0,3000.0,6'4,207.0,South America
4151,G. Dorrans,31,United Kingdom,71,71,Rangers FC,2000000.0,31000.0,5'10,172.0,Europe
4152,Víctor Díaz,30,Spain,71,71,Granada CF,1700000.0,6000.0,6'0,159.0,Europe
4153,T. Makino,31,Japan,71,71,Urawa Red Diamonds,1600000.0,8000.0,6'0,170.0,Asia
4154,J. Mensah,27,Ghana,71,72,Columbus Crew SC,2200000.0,5000.0,6'2,183.0,Africa
4155,I. Sylla,24,Guinea,71,75,Toulouse Football Club,2600000.0,14000.0,5'11,165.0,Africa
4156,Cyriac,27,Ivory Coast,71,71,Sivasspor,2500000.0,11000.0,5'8,165.0,Africa
4157,Bernardo,24,Spain,71,78,CD Lugo,2800000.0,5000.0,6'3,187.0,Europe
4158,P. Gollini,23,Italy,71,79,Atalanta,2600000.0,10000.0,6'2,176.0,Europe
4159,M. Vlap,21,Netherlands,71,78,SC Heerenveen,3400000.0,5000.0,6'3,152.0,Europe
4160,Tiago Pombeira,30,Brazil,71,71,Atlético Mineiro,2200000.0,21000.0,5'8,143.0,South America
4161,Y. Soteldo,21,Venezuela,71,81,Universidad de Chile,3800000.0,6000.0,5'3,121.0,South America
4162,Rafa López,33,Spain,71,71,CF Rayo Majadahonda,950000.0,5000.0,5'10,159.0,Europe
4163,A. Nocerino,33,Italy,71,71,Benevento,950000.0,4000.0,5'9,165.0,Europe
4164,J. Harper,22,United Kingdom,71,79,Málaga CF,3500000.0,7000.0,6'1,172.0,Europe
4165,R. De Laet,29,Belgium,71,71,Melbourne City FC,1800000.0,13000.0,6'1,170.0,Europe
4166,J. Zimmer,24,Germany,71,76,Fortuna Düsseldorf,2600000.0,14000.0,5'7,163.0,Europe
4167,C. Săpunaru,34,Romania,71,71,Kayserispor,725000.0,9000.0,6'2,179.0,Europe
4168,Afonso Figueiredo,25,Portugal,71,74,Rio Ave FC,2400000.0,6000.0,5'7,141.0,Europe
4169,J. Omlin,24,Switzerland,71,79,FC Basel 1893,2600000.0,10000.0,6'2,176.0,Europe
4170,R. Yaremchuk,22,Ukraine,71,76,KAA Gent,3200000.0,13000.0,6'3,174.0,Europe
4171,F. Wiedwald,28,Germany,71,71,Eintracht Frankfurt,1700000.0,16000.0,6'3,181.0,Europe
4172,A. Galabinov,29,Bulgaria,71,71,Spezia,2400000.0,4000.0,6'3,194.0,Europe
4173,Maikel Mesa,27,Spain,71,72,UD Las Palmas,2700000.0,8000.0,6'2,174.0,Europe
4174,B. Garnica,22,Mexico,71,77,Club Atlas,3200000.0,12000.0,5'6,123.0,North America
4175,D. Arslanagic,25,Belgium,71,75,Royal Antwerp FC,2600000.0,7000.0,6'3,192.0,Europe
4176,H. Henao,31,Colombia,71,71,Alianza Petrolera,1600000.0,2000.0,5'11,152.0,South America
4177,Y. Kashiwa,30,Japan,71,71,Sanfrecce Hiroshima,2200000.0,9000.0,5'6,137.0,Asia
4178,J. Gol,32,Poland,71,71,Cracovia,1800000.0,5000.0,6'0,170.0,Europe
4179,N. Ghilas,28,Algeria,71,71,Göztepe SK,2400000.0,18000.0,6'0,187.0,Africa
4180,B. McKay,23,United Kingdom,71,78,Swansea City,3300000.0,17000.0,5'9,148.0,Europe
4181,Carraça,25,Portugal,71,75,Boavista FC,2500000.0,5000.0,5'10,163.0,Europe
4182,Adriano Facchini,35,Brazil,71,71,Al Batin,550000.0,5000.0,6'1,163.0,South America
4183,A. Callens,26,Peru,71,75,New York City FC,2500000.0,5000.0,6'1,168.0,South America
4184,J. Perbet,33,France,71,71,Sporting de Charleroi,1500000.0,11000.0,6'0,185.0,Europe
4185,M. Antonsson,27,Sweden,71,72,Malmö FF,2800000.0,6000.0,6'0,176.0,Europe
4186,Carlitos,35,Portugal,71,71,FC Sion,1000000.0,14000.0,5'9,161.0,Europe
4187,C. Lucchetti,40,Argentina,71,71,Atlético Tucumán,160000.0,4000.0,6'0,152.0,South America
4188,J. Bostock,26,United Kingdom,71,74,Toulouse Football Club,2500000.0,16000.0,6'2,185.0,Europe
4189,V. Milinković-Savić,21,Serbia,71,79,SPAL,2600000.0,12000.0,6'8,203.0,Europe
4190,G. Peñalba,33,Argentina,71,71,UD Las Palmas,1400000.0,8000.0,6'4,198.0,South America
4191,L. Kleinheisler,24,Hungary,71,76,,0.0,0.0,5'8,154.0,Europe
4192,R. Aliendro,27,Argentina,71,72,Atlético Tucumán,2200000.0,8000.0,5'10,150.0,South America
4193,L. Seijas,32,Venezuela,71,71,Independiente Santa Fe,1800000.0,3000.0,5'10,157.0,South America
4194,L. Fuentes,31,Mexico,71,71,Club Tijuana,1600000.0,13000.0,5'8,141.0,North America
4195,R. Hassan,27,Nigeria,71,71,FC Midtjylland,2500000.0,16000.0,5'8,141.0,Africa
4196,L. Di Plácido,24,Argentina,71,75,Club Atlético Lanús,2600000.0,9000.0,5'9,159.0,South America
4197,Heriberto Tavares,21,Portugal,71,80,Moreirense FC,3700000.0,6000.0,5'11,146.0,Europe
4198,Pulido,27,Spain,71,72,SD Huesca,2200000.0,13000.0,6'1,159.0,Europe
4199,Ewerton,25,Brazil,71,74,Portimonense SC,2900000.0,8000.0,5'10,152.0,South America
4200,G. Verón,28,Argentina,71,71,Independiente,2400000.0,14000.0,5'10,168.0,South America
4201,O. Boscagli,20,France,71,81,OGC Nice,3300000.0,12000.0,5'11,150.0,Europe
4202,C. Jerome,31,United Kingdom,71,71,Göztepe SK,2100000.0,17000.0,6'1,187.0,Europe
4203,E. Muñoz,27,Argentina,71,73,CD Leganés,2300000.0,16000.0,6'1,172.0,South America
4204,U. Đerić,26,Serbia,71,73,Gangwon FC,2900000.0,5000.0,6'5,209.0,Europe
4205,E. Albayrak,27,Turkey,71,72,Júbilo Iwata,2200000.0,4000.0,5'10,152.0,Asia
4206,F. Calvo,25,Costa Rica,71,73,Minnesota United FC,2400000.0,5000.0,5'11,170.0,North America
4207,F. Costa,23,Italy,71,77,SPAL,3200000.0,8000.0,5'9,154.0,Europe
4208,Xavi Torres,31,Spain,71,71,Elche CF,1600000.0,5000.0,6'0,181.0,Europe
4209,A. Cadavid,32,Colombia,71,71,Millonarios FC,1400000.0,3000.0,6'2,192.0,South America
4210,J. Spector,32,United States,71,71,Orlando City SC,1400000.0,5000.0,6'0,176.0,North America
4211,Felipe,31,Brazil,71,71,Hannover 96,1600000.0,18000.0,6'4,198.0,South America
4212,M. Dijks,25,Netherlands,71,74,Bologna,2400000.0,17000.0,6'4,207.0,Europe
4213,M. Hassen,23,Tunisia,71,78,OGC Nice,2400000.0,12000.0,6'1,176.0,Africa
4214,M. Bourabia,26,Morocco,71,72,Sassuolo,2700000.0,29000.0,6'0,161.0,Africa
4215,L. Hejda,28,Czech Republic,71,73,Viktoria Plzeň,2200000.0,1000.0,6'2,190.0,Europe
4216,E. Bergström,25,Sweden,71,75,FC Utrecht,2600000.0,11000.0,6'2,192.0,Europe
4217,Shikabala,32,Egypt,71,71,,0.0,0.0,6'0,163.0,Africa
4218,Aurélio Buta,21,Portugal,71,79,Royal Antwerp FC,3000000.0,6000.0,5'8,159.0,Europe
4219,C. Penilla,27,Ecuador,71,71,New England Revolution,2500000.0,6000.0,5'9,168.0,South America
4220,D. Cools,22,Belgium,71,78,Club Brugge KV,3300000.0,12000.0,6'0,172.0,Europe
4221,D. Muñoz,22,Colombia,71,79,Rionegro Águilas,3000000.0,1000.0,6'0,168.0,South America
4222,G. Sandoval,22,Mexico,71,80,Guadalajara,3600000.0,20000.0,5'7,146.0,North America
4223,Y. Bodiger,23,France,71,79,Toulouse Football Club,3000000.0,14000.0,6'2,176.0,Europe
4224,T. Kleindienst,22,Germany,71,76,SC Freiburg,3200000.0,15000.0,6'4,185.0,Europe
4225,J. Abella,24,Mexico,71,75,Santos Laguna,2600000.0,11000.0,5'9,163.0,North America
4226,U. Emanuelson,32,Netherlands,71,71,FC Utrecht,1800000.0,12000.0,5'9,150.0,Europe
4227,R. Tesche,31,Germany,71,71,VfL Bochum 1848,2000000.0,12000.0,5'11,157.0,Europe
4228,B. Nivet,41,France,71,71,ESTAC Troyes,0.0,5000.0,5'10,165.0,Europe
4229,Léo Jabá,19,Brazil,71,82,PAOK,4000000.0,1000.0,5'11,176.0,South America
4230,Paulo Henrique,29,Brazil,71,71,Akhisar Belediyespor,2400000.0,13000.0,6'1,176.0,South America
4231,Y. Meriah,24,Tunisia,71,75,Olympiacos CFP,2600000.0,1000.0,6'3,183.0,Africa
4232,A. Soto,24,Argentina,71,75,Racing Club,2600000.0,10000.0,5'10,157.0,South America
4233,J. Quiñones,21,Colombia,71,81,Tigres U.A.N.L.,3900000.0,25000.0,5'10,168.0,South America
4234,Domingos Duarte,23,Portugal,71,79,Deportivo de La Coruña,3000000.0,7000.0,6'3,172.0,Europe
4235,E. Başsan,26,Turkey,71,72,BB Erzurumspor,2800000.0,10000.0,5'10,146.0,Asia
4236,F. Avenatti,25,Uruguay,71,73,KV Kortrijk,2900000.0,20000.0,6'5,190.0,South America
4237,V. Fiorillo,28,Italy,71,71,Pescara,1700000.0,3000.0,6'3,174.0,Europe
4238,O. González,33,Chile,71,71,Deportivo Toluca,950000.0,14000.0,6'0,174.0,South America
4239,Zheng Zhi,37,China,71,71,Guangzhou Evergrande Taobao FC,325000.0,8000.0,5'11,165.0,Asia
4240,M. Henriksen,25,Norway,71,74,Hull City,2900000.0,17000.0,6'2,176.0,Europe
4241,Paulolettinho,34,Brazil,71,71,Paraná,1200000.0,14000.0,5'11,176.0,South America
4242,S. Malezas,33,Greece,71,71,PAOK,950000.0,1000.0,6'4,168.0,Europe
4243,W. Lautoa,30,New Caledonia,71,71,Dijon FCO,1800000.0,9000.0,6'0,192.0,Oceania
4244,M. Fofana,26,Ivory Coast,71,71,Atiker Konyaspor,2500000.0,12000.0,5'10,157.0,Africa
4245,J. Cornejo,27,Chile,71,71,Club León,2000000.0,17000.0,5'10,172.0,South America
4246,J. Duque,31,Colombia,71,71,Club Atlas,2100000.0,15000.0,6'0,174.0,South America
4247,E. Horvath,23,United States,71,77,Club Brugge KV,2400000.0,9000.0,6'5,190.0,North America
4248,J. McClean,29,Ireland,71,71,Stoke City,2300000.0,30000.0,5'11,154.0,Europe
4249,A. Guédioura,32,Algeria,71,71,Nottingham Forest,1800000.0,30000.0,5'10,179.0,Africa
4250,E. Valentini,29,Germany,71,71,1. FC Nürnberg,1800000.0,15000.0,6'0,172.0,Europe
4251,J. Šimunović,23,Bosnia and Herzegovina,71,76,Celtic,2700000.0,24000.0,6'3,187.0,Europe
4252,C. Kouamé,20,Ivory Coast,71,85,Genoa,5000000.0,9000.0,6'1,154.0,Africa
4253,N. De Pauw,28,Belgium,71,71,SV Zulte-Waregem,2400000.0,11000.0,5'11,174.0,Europe
4254,Alex das Freitas,30,Brazil,71,71,América FC (Minas Gerais),1800000.0,10000.0,5'8,168.0,South America
4255,Mossa,29,Spain,71,71,Real Oviedo,1800000.0,7000.0,5'10,159.0,Europe
4256,J. Marriott,23,United Kingdom,71,78,Derby County,3400000.0,25000.0,5'8,157.0,Europe
4257,J. Riojas,30,Paraguay,71,71,,0.0,0.0,5'9,163.0,South America
4258,L. Fröde,23,Germany,71,79,MSV Duisburg,3000000.0,5000.0,6'4,187.0,Europe
4259,L. Pokorný,24,Czech Republic,71,77,SK Slavia Praha,2800000.0,1000.0,6'3,190.0,Europe
4260,D. Vavro,22,Slovakia,71,81,FC København,3300000.0,11000.0,6'3,168.0,Europe
4261,M. Bjärsmyr,32,Sweden,71,71,Sivasspor,1400000.0,9000.0,6'1,181.0,Europe
4262,Oriol Riera,31,Spain,71,71,Western Sydney Wanderers,2100000.0,7000.0,6'0,172.0,Europe
